2022/01/23 15:52:42 {"callers":["/Users/lincuicui/go/blog-service/main.go:26 main.init.0"],"level":"error","message":"app.BindAndValid errs:State为必填字段","time":1642924362467781000}
2022/01/23 15:52:43 {"callers":["/Users/lincuicui/go/blog-service/main.go:26 main.init.0"],"level":"error","message":"app.BindAndValid errs:State为必填字段","time":1642924363586877000}
2022/01/23 15:52:44 {"callers":["/Users/lincuicui/go/blog-service/main.go:26 main.init.0"],"level":"error","message":"app.BindAndValid errs:State为必填字段","time":1642924364377314000}
2022/01/23 15:52:49 {"callers":["/Users/lincuicui/go/blog-service/main.go:26 main.init.0"],"level":"error","message":"app.BindAndValid errs:","time":1642924369502578000}
2022/01/23 15:52:50 {"callers":["/Users/lincuicui/go/blog-service/main.go:26 main.init.0"],"level":"error","message":"app.BindAndValid errs:","time":1642924370935982000}
2022/01/23 15:52:54 {"callers":["/Users/lincuicui/go/blog-service/main.go:26 main.init.0"],"level":"error","message":"app.BindAndValid errs:State为必填字段","time":1642924374784475000}
2022/01/23 15:53:22 {"callers":["/Users/lincuicui/go/blog-service/main.go:26 main.init.0"],"level":"error","message":"app.BindAndValid errs:State必须是[0 1]中的一个","time":1642924402870343000}
2022/01/23 15:54:53 {"callers":["/Users/lincuicui/go/blog-service/main.go:26 main.init.0"],"level":"error","message":"app.BindAndValid errs:State必须是[0 1]中的一个","time":1642924493215720000}
2022/01/23 15:54:56 {"callers":["/Users/lincuicui/go/blog-service/main.go:26 main.init.0"],"level":"error","message":"app.BindAndValid errs:State为必填字段","time":1642924496435024000}
2022/01/23 15:58:48 {"callers":["/Users/lincuicui/go/blog-service/main.go:26 main.init.0"],"level":"error","message":"app.BindAndValid errs:State为必填字段","time":1642924728858183000}
2022/01/23 15:58:50 {"callers":["/Users/lincuicui/go/blog-service/main.go:26 main.init.0"],"level":"error","message":"app.BindAndValid errs:State为必填字段","time":1642924730999896000}
